node,is_victim,pagerank,victim_connection_weight,degree,strength,role,story_title,story_index
Dennis Luna,0,0.1111111111111111,0,1,1.0,Other,The Final Problem,1
Firebolt,0,0.0970788493786667,1,2,2.0,Other,The Final Problem,1
Flitwick,0,0.0575899617913175,0,1,1.0,Other,The Final Problem,1
Howler,0,0.0970788493786667,1,2,2.0,Other,The Final Problem,1
Lee,0,0.0575899617913175,0,1,1.0,Other,The Final Problem,1
Mr. Snitch Tournament,1,0.1381900206326818,0,3,3.0,Other,The Final Problem,1
Mrs. Diagon,0,0.1376668403311862,1,2,3.0,Other,The Final Problem,1
Niffler,0,0.1111111111111111,0,1,1.0,Other,The Final Problem,1
Professor Slytherin,0,0.1925832944739409,0,3,4.0,Culprit,The Final Problem,1
Adler,0,0.0714285714285714,0,1,1.0,Other,The Adventure of the Blue Carbuncle,2
Bean,1,0.0764241813095151,0,3,4.0,Other,The Adventure of the Blue Carbuncle,2
Collette,0,0.0321385090302355,0,1,1.0,Other,The Adventure of the Blue Carbuncle,2
D'arcy Blunt,0,0.1260282847201004,0,5,5.0,Other,The Adventure of the Blue Carbuncle,2
Heard,0,0.1226472264432959,1,5,6.0,Other,The Adventure of the Blue Carbuncle,2
Inspector Lamarr,0,0.0273335810291327,0,1,1.0,Other,The Adventure of the Blue Carbuncle,2
Mckellen Winslet,0,0.0977610837767264,1,3,5.0,Other,The Adventure of the Blue Carbuncle,2
Miss Davidson Astin,0,0.0714285714285714,0,1,1.0,Other,The Adventure of the Blue Carbuncle,2
Mrs. Arquette Cooper,0,0.0321385090302355,0,1,1.0,Other,The Adventure of the Blue Carbuncle,2
Mrs. Beckinsale,0,0.0645721492781999,0,2,2.0,Other,The Adventure of the Blue Carbuncle,2
O'hara,0,0.0280894548396925,0,1,1.0,Other,The Adventure of the Blue Carbuncle,2
Saldana Barrymore,0,0.1679042067426782,2,5,9.0,Culprit,The Adventure of the Blue Carbuncle,2
Segel,0,0.0439471704171803,0,2,2.0,Other,The Adventure of the Blue Carbuncle,2
Wright,0,0.038158500525864,0,1,1.0,Other,The Adventure of the Blue Carbuncle,2
Annie,0,0.0948425470286972,0,4,10.0,Other,The Naval Treaty,3
Briarbrae,0,0.1106840521763585,0,5,12.0,Victim,The Naval Treaty,3
Forbes,0,0.0530624099801056,0,3,4.0,Other,The Naval Treaty,3
Miss Hudson,0,0.0449942846531708,0,1,4.0,Other,The Naval Treaty,3
Mr. Annie Hudson,0,0.0948425470286972,0,4,10.0,Culprit,The Naval Treaty,3
Mr. Briarbrae Harrison,0,0.1242771615589642,0,5,13.0,Other,The Naval Treaty,3
Mr. Joseph Tut,0,0.181484959747639,0,8,18.0,Other,The Naval Treaty,3
Mr. Watson,0,0.019284285449007,0,1,1.0,Other,The Naval Treaty,3
Mrs. Charles,0,0.0354073761700756,0,3,3.0,Other,The Naval Treaty,3
Percy,0,0.0628051984190088,0,3,6.0,Victim,The Naval Treaty,3
Tadpole,0,0.0301157804038373,0,2,2.0,Other,The Naval Treaty,3
Tangey,0,0.0346774578154382,0,3,3.0,Other,The Naval Treaty,3
ferrier,0,0.0631165025903845,0,2,6.0,Other,The Naval Treaty,3
holmes,0,0.0504054369786155,0,2,4.0,Other,The Naval Treaty,3
Bradstreet,0,0.0400320933907661,0,1,1.0,Other,The Adventure of the Blue Carbuncle,4
Catherine,0,0.1766989633921614,0,4,6.0,Other,The Adventure of the Blue Carbuncle,4
Catherine Jem,0,0.1146507177782862,0,2,4.0,Other,The Adventure of the Blue Carbuncle,4
Cocksure,0,0.0534425952635309,0,1,1.0,Other,The Adventure of the Blue Carbuncle,4
Inspector Sherlock,0,0.041300443109705,0,1,1.0,Other,The Adventure of the Blue Carbuncle,4
John Cusack,0,0.12376921838286,0,2,4.0,Other,The Adventure of the Blue Carbuncle,4
Mary Baker,0,0.1413018160672732,0,4,4.0,Other,The Adventure of the Blue Carbuncle,4
Mrs. Oakshott Maggie,0,0.0450268358210166,0,1,1.0,Other,The Adventure of the Blue Carbuncle,4
Mrs. Robinson,0,0.0904536788424386,0,2,2.0,Other,The Adventure of the Blue Carbuncle,4
Windigate Ryder,0,0.1733236379519617,0,4,6.0,Culprit,The Adventure of the Blue Carbuncle,4
Constable Stone,0,0.0189360644079903,0,1,2.0,Other,The Adventure of Wisteria Lodge,5
David,0,0.051732877986317,0,3,4.0,Other,The Adventure of Wisteria Lodge,5
Don,0,0.012326370040691,0,1,1.0,Other,The Adventure of Wisteria Lodge,5
Doyle Signor,0,0.0373050495958819,0,2,3.0,Culprit,The Adventure of Wisteria Lodge,5
Dr. Arthur,0,0.0477124184214731,3,4,6.0,Other,The Adventure of Wisteria Lodge,5
Durando,0,0.0167628687774299,0,1,1.0,Other,The Adventure of Wisteria Lodge,5
Esher Jove,0,0.1084311673032421,0,9,14.0,Other,The Adventure of Wisteria Lodge,5
George,0,0.0269037428177558,0,2,2.0,Other,The Adventure of Wisteria Lodge,5
Godspeed Inspector,0,0.01971549660562,1,2,2.0,Other,The Adventure of Wisteria Lodge,5
Godspeed Murillo,0,0.0382069971935595,1,5,5.0,Other,The Adventure of Wisteria Lodge,5
Henderson Signor,0,0.0715845854662715,0,4,6.0,Culprit,The Adventure of Wisteria Lodge,5
Hudson Lee,0,0.0214830138799354,0,2,2.0,Other,The Adventure of Wisteria Lodge,5
John,0,0.0127010435418616,0,1,1.0,Other,The Adventure of Wisteria Lodge,5
John Carruthers Eckermann,0,0.0489306912625094,1,5,6.0,Other,The Adventure of Wisteria Lodge,5
Juan,0,0.0264801061255743,0,2,2.0,Other,The Adventure of Wisteria Lodge,5
Lopez,0,0.0548700856451851,0,6,6.0,Other,The Adventure of Wisteria Lodge,5
Miss Lodge,0,0.0235531504085345,0,2,2.0,Other,The Adventure of Wisteria Lodge,5
Mr. Harringby,0,0.0848564565772641,0,6,11.0,Other,The Adventure of Wisteria Lodge,5
Scott Aloysius,0,0.0266832721426551,0,3,3.0,Other,The Adventure of Wisteria Lodge,5
Sherlock,0,0.0437144506950587,4,3,6.0,Other,The Adventure of Wisteria Lodge,5
Sherlock Garcia,1,0.0726226291905918,0,5,10.0,Victim,The Adventure of Wisteria Lodge,5
Sir Lucas Dolores,0,0.0384615384615384,0,1,1.0,Other,The Adventure of Wisteria Lodge,5
Sir Williams Eccles,0,0.0214830138799354,0,2,2.0,Other,The Adventure of Wisteria Lodge,5
Wisteria,0,0.0235531504085345,0,2,2.0,Other,The Adventure of Wisteria Lodge,5
marx,0,0.0125282207030499,0,1,1.0,Other,The Adventure of Wisteria Lodge,5
